Nome cientifico,Pagina Inicial,Pagina Final,Volume,Total de espécies
Luehea divaricata,59,68,1,100
Holocalyx balansae,69,76,1,100
Pterogyne nitens,77,86,1,100
Piptadenia paniculata,87,92,1,100
Anadenanthera colubrina var. colubrina,93,100,1,100
Anadenanthera peregrina var. falcata,101,108,1,100
Parapiptadenia rigida,109,119,1,100
Anadenanthera colubrina var. cebil,119,128,1,100
Centrolobium microchaete,129,136,1,100
Centrolobium robustum,137,144,1,100
Centrolobium tomentosum,145,152,1,100
Annona cacans,153,160,1,100
Schinus terebinthifolius,161,171,1,100
Schinus molle,171,178,1,100
Myracrodruon urundeuva,179,190,1,100
Talauma ovata,191,198,1,100
Dipteryx alata,199,208,1,100
Virola bicuhyba,207,214,1,100
Joannesia princeps,215,222,1,100
Mimosa scabrella,223,232,1,100
Mimosa scabrella var. aspericarpa,233,240,1,100
Mimosa flocculosa,241,248,1,100
Sebastiania commersoniana,249,256,1,100
Myrocarpus frondosus,257,264,1,100
Tabebuia cassinoides,265,274,1,100
Gochnatia polymorpha,275,282,1,100
Peltophorum dubium,283,292,1,100
Nectandra lanceolata,293,300,1,100
Ocotea puberula,301,308,1,100
Ocotea catharinensis,309,316,1,100
Ocotea odorifera,317,326,1,100
Cabralea canjerana subsp. canjerana,327,336,1,100
Croton floribundus,337,344,1,100
Myrsine ferruginea,345,350,1,100
Jacaranda micrantha,353,360,1,100
Roupala brasiliensis,361,368,1,100
Cassia grandis,369,376,1,100
Machaerium scleroxylon,377,384,1,100
Cedrela fissilis,385,396,1,100
Copaifera langsdorffii,397,406,1,100
Poecilanthe parviflora,407,412,1,100
Erythrina falcata,415,422,1,100
Trema micrantha,423,432,1,100
Amburana cearensis,433,442,1,100
Lafoensia pacari,443,450,1,100
Cecropia hololeuca,451,456,1,100
Ilex paraguariensis,457,468,1,100
Apuleia leiocarpa,469,478,1,100
Patagonula americana,479,486,1,100
Calophyllum brasiliense,487,496,1,100
Schizolobium parahybae,497,506,1,100
Lamanonia ternata,507,512,1,100
Vochysia bifalcata,513,518,1,100
Astronium graveolens,519,526,1,100
Ocotea porosa,527,534,1,100
Inga sessilis,535,542,1,100
Tabebuia alba,543,550,1,100
Zeyheria tuberculosa,551,558,1,100
Tabebuia impetiginosa,559,566,1,100
Tabebuia heptaphylla,567,574,1,100
Dalbergia brasiliensis,575,582,1,100
Dalbergia nigra,583,592,1,100
Miconia cinnamomifolia,593,600,1,100
Hymenaea courbaril var. stilbocarpa,601,610,1,100
Genipa americana,611,620,1,100
Cariniana estrellensis,621,630,1,100
Cariniana legalis,631,638,1,100
Bastardiopsis densiflora,639,646,1,100
Cordia trichotoma,647,658,1,100
Schefflera morototoni,659,670,1,100
Diatenopteryx sorbifolia,671,676,1,100
Mimosa bimucronata,677,684,1,100
Ruprechtia laxiflora,685,692,1,100
Chorisia speciosa,693,700,1,100
Euterpe edulis,701,710,1,100
Bauhinia forficata,711,718,1,100
Caesalpinia echinata,719,728,1,100
Senna multijuga,729,736,1,100
Gallesia integrifolia,737,744,1,100
Caesalpinia ferrea var. parvifolia,745,752,1,100
Myracrodruon balansae,753,758,1,100
Piptadenia gonoacantha,759,766,1,100
Balfourodendron riedelianum,767,776,1,100
Copaifera trapezifolia,777,782,1,100
Aspidosperma polyneuron,783,792,1,100
Podocarpus lambertii,793,800,1,100
Araucaria angustifolia,801,814,1,100
Quillaja brasiliensis,815,822,1,100
Salix humboldtiana,823,830,1,100
Gordonia fruticosa,831,836,1,100
Colubrina glandulosa var. reitzii,837,844,1,100
Gleditsia amorphoides,845,852,1,100
Maclura tinctoria,853,860,1,100
Alchornea triplinervia,861,868,1,100
Citharexylum myrianthum,869,876,1,100
Sclerolobium paniculatum,877,884,1,100
Enterolobium contortisiliquum,885,894,1,100
Ateleia glazioveana,895,900,1,100
Prunus brasiliensis,903,912,1,100
Piptocarpha angustifolia,913,918,1,100
Luehea candicans,57,62,2,60
Chrysophyllum gonocarpum,65,70,2,60
Schefflera angustissimum,73,78,2,60
Protium heptaphyllum,81,88,2,60
Samanea tubulosa,91,96,2,60
Lithrea molleoides,99,104,2,60
Myroxylon peruiferum,107,114,2,60
Casearia sylvestris,117,124,2,60
Spondias mombin,127,132,2,60
Ocotea pulchella,135,140,2,60
Cryptocarya aschersoniana,143,148,2,60
Nectandra megapotamica,151,156,2,60
Rapanea umbellata,159,164,2,60
Clethra scabra,167,172,2,60
Amburana acreana,175,179,2,60
Erythrina crista-galli,183,188,2,60
Tapirira guianensis,191,198,2,60
Cupania vernalis,201,208,2,60
Cecropia pachystachya,211,218,2,60
Pseudobombax grandiflorum,221,226,2,60
Maytenus ilicifolia,229,236,2,60
Albizia polycephala,239,244,2,60
Ficus enormis,247,252,2,60
Cassia leptophylla,255,260,2,60
Campomanesia xanthocarpa,263,268,2,60
Inga marginata,271,276,2,60
Sclerolobium densiflorum,279,282,2,60
Tabebuia chrysotricha,285,290,2,60
Jacaratia spinosa,293,298,2,60
Hymenaea stigonocarpa,301,306,2,60
Syagrus romanzoffiana,309,316,2,60
Ziziphus joazeiro,319,324,2,60
Cordia alliodora,327,332,2,60
Zanthoxylum rhoifolium,335,342,2,60
Senna macranthera,345,350,2,60
Symplocos uniflora,353,358,2,60
Matayba elaeagnoides,361,366,2,60
Swietenia macrophylla,369,378,2,60
Blepharocalyx salicifolius,381,386,2,60
Guazuma ulmifolia,389,398,2,60
Schizolobium amazonicum,401,408,2,60
Auxemma oncocalyx,411,416,2,60
Persea pyrifolia,419,424,2,60
Aegiphila sellowiana,427,432,2,60
Vochysia tucanorum,435,440,2,60
Aspidosperma olivaceum,443,448,2,60
Xylopia brasiliensis,451,456,2,60
Podocarpus sellowii,459,464,2,60
Eugenia uniflora,467,472,2,60
Mimosa caesalpiniifolia,475,482,2,60
Sloanea monosperma,485,490,2,60
Lecythis pisonis,493,498,2,60
Machaerium stipitatum,501,506,2,60
Bowdichia virgilioides,509,516,2,60
Alchornea glandulosa subsp. iricurana,519,524,2,60
Vitex megapotamica,527,532,2,60
Lonchocarpus muehlbergianus,535,540,2,60
Allophylus edulis,543,548,2,60
Piptocarpha tomentosa,551,554,2,60
Parkia pendula,557,562,2,60
Andira anthelmia,59,63,3,60
Leucochloron incuriale,67,71,3,60
Rollinia sylvatica,75,80,3,60
Schinopsis brasiliensis,83,88,3,60
Helietta apiculata,91,96,3,60
Ocotea corymbosa,99,103,3,60
Nectandra membranacea,107,111,3,60
Escallonia bifida,115,119,3,60
Aralia warmingiana,123,127,3,60
Roupala montana,131,136,3,60
Rauvolfia sellowii,139,143,3,60
Drimys brasiliensis,147,153,3,60
Styrax leprosus,157,161,3,60
Ilex theezans,165,170,3,60
Pseudopiptadenia warmingii,173,177,3,60
Phytolacca dioica,181,185,3,60
Cedrela lilloi,189,192,3,60
Eugenia involucrata,195,200,3,60
Sorocea bonplandii,203,208,3,60
Ormosia arborea,211,215,3,60
Dipteryx odorata,219,224,3,60
Maytenus aquifolia,227,231,3,60
Lonchocarpus guilleminianus,235,239,3,60
Albizia niopoides,243,248,3,60
Parkia multijuga,251,255,3,60
Solanum bullatum,259,263,3,60
Casearia lasiophylla,267,271,3,60
Myrcia rostrata,275,280,3,60
Pouteria torta,283,288,3,60
Commiphora leptophloeos,291,295,3,60
Inga vera subsp. affinis,299,303,3,60
Machaerium nictitans,307,312,3,60
Heliocarpus popayanensis,315,319,3,60
Mimosa regnellii,323,326,3,60
Hyeronima alchorneoides,329,334,3,60
Randia ferox,337,342,3,60
Cordia ecalyculata,345,350,3,60
Acrocomia aculeata,353,358,3,60
Clusia criuva,361,365,3,60
Simarouba amara,369,374,3,60
Acacia polyphylla,377,383,3,60
Erythrina velutina,387,391,3,60
Byrsonima sericea,395,400,3,60
Jacaranda copaia,403,408,3,60
Sclerolobium denudatum,411,414,3,60
Croton celtidifolius,417,420,3,60
Qualea grandiflora,423,428,3,60
Caryocar brasiliense,431,437,3,60
Prunus myrtifolia,441,446,3,60
Miconia cabucu,449,453,3,60
Pterocarpus rohrii,457,462,3,60
Terminalia australis,465,468,3,60
Campomanesia guazumifolia,471,476,3,60
Caesalpinia pluviosa var. peltophoroides,479,484,3,60
Ceiba pentandra,487,493,3,60
Enterolobium timbouva,497,501,3,60
Spondias tuberosa,505,509,3,60
Vernonia discolor,513,517,3,60
Dodonaea viscosa,521,526,3,60
Plathymenia reticulata,529,535,3,60
Trattinnickia rhoifolia,65,69,4,60
Andira fraxinifolia,73,78,4,60
Cordia superba,81,85,4,60
Melanoxylon brauna,89,94,4,60
Symphonia globulifera,97,103,4,60
Trithrinax brasiliensis,107,111,4,60
Nectandra grandiflora,115,120,4,60
Terminalia argentea,123,128,4,60
Tabebuia aurea,131,138,4,60
Euplassa cantareirae,141,145,4,60
Senna spectabilis var. excelsa,149,153,4,60
Pityrocarpa moniliformis,157,161,4,60
Cedrela odorata,165,174,4,60
Sterculia striata,177,182,4,60
Ilex dumosa,185,189,4,60
Cecropia glazioui,193,198,4,60
Eschweilera ovata,201,206,4,60
Alseis floribunda,209,213,4,60
Albizia edwallii,217,221,4,60
Parkia gigantocarpa,225,230,4,60
Astronium fraxinifolium,233,240,4,60
Casearia decandra,243,249,4,60
Esenbeckia leiocarpa,253,258,4,60
Maytenus robusta,261,265,4,60
Vochysia magnifica,269,273,4,60
Campomanesia guaviroba,277,281,4,60
Inga virescens,285,289,4,60
Machaerium brasiliense,293,297,4,60
Guibourtia hymenaeifolia,301,304,4,60
Caesalpinia ferrea var. ferrea,307,312,4,60
Mimosa tenuiflora,315,319,4,60
Sapium glandulatum,323,330,4,60
Seguieria langsdorffii,333,337,4,60
Solanum lycocarpum,341,347,4,60
Manilkara subsericea,351,355,4,60
Schefflera macrocarpa,359,363,4,60
Agonandra brasiliensis subsp. brasiliensis,367,373,4,60
Bauhinia cheilantha,377,382,4,60
Licania rigida,385,391,4,60
Sclerolobium aureum,395,399,4,60
Ochroma pyramidale,403,409,4,60
Apeiba tibourbou,413,418,4,60
Physocalymma scaberrimum,421,425,4,60
Simarouba versicolor,429,433,4,60
Centrolobium paraense,437,443,4,60
Aspidosperma pyrifolium,447,453,4,60
Xylopia aromatica,457,463,4,60
Cinnamodendron dinisii,467,472,4,60
Tibouchina sellowiana,475,480,4,60
Rhamnidium elaeocarpum,483,488,4,60
Pterodon emarginatus,491,496,4,60
Erythrina speciosa,499,504,4,60
Bagassa guianensis,507,512,4,60
Lonchocarpus nitidus,515,519,4,60
Abarema brachystachya,523,526,4,60
Magonia pubescens,529,534,4,60
Virola sebifera,537,543,4,60
Eugenia pyriformis,547,553,4,60
Piptocarpha axillaris,557,561,4,60
Dalbergia cearensis,565,569,4,60
Luehea paniculata,65,70,5,60
Protium kleinii,73,77,5,60
Buchenavia tetraphylla,81,85,5,60
Carapa guianensis,89,97,5,60
Tachigali rugosa,101,105,5,60
Andira surinamensis,109,113,5,60
Annona rugulosa,117,121,5,60
Garcinia gardneriana,125,131,5,60
Posoqueria latifolia,135,140,5,60
Maytenus rigida,143,148,5,60
Mimosa pilulifera,151,155,5,60
Symplocos glanduloso-marginata,159,162,5,60
Butia eriospatha,165,169,5,60
Vochysia divergens,173,177,5,60
Cinnamomum sellowianum,181,185,5,60
