nome_cientifico,volume,pagina
Luehea divaricata,1,57
Holocalyx balansae,1,67
Pterogyne nitens,1,75
Piptadenia paniculata,1,85
Anadenanthera colubrina var. colubrina,1,91
Anadenanthera peregrina var. falcata,1,99
Parapiptadenia rigida,1,107
Anadenanthera colubrina var. cebil,1,117
Centrolobium microchaete,1,127
Centrolobium robustum,1,135
Centrolobium tomentosum,1,143
Annona cacans,1,151
Schinus terebinthifolius,1,159
Schinus molle,1,169
Myracrodruon urundeuva,1,177
Talauma ovata,1,189
Dipteryx alata,1,197
Virola bicuhyba,1,205
Joannesia princeps,1,213
Mimosa scabrella,1,221
Mimosa scabrella var. aspericarpa,1,231
Mimosa flocculosa,1,239
Sebastiania commersoniana,1,247
Myrocarpus frondosus,1,255
Tabebuia cassinoides,1,263
Gochnatia polymorpha,1,273
Peltophorum dubium,1,281
Nectandra lanceolata,1,291
Ocotea puberula,1,299
Ocotea catharinensis,1,307
Ocotea odorifera,1,315
Cabralea canjerana subsp. canjerana,1,325
Croton floribundus,1,335
Myrsine ferruginea,1,343
Jacaranda micrantha,1,351
Roupala brasiliensis,1,359
Cassia grandis,1,367
Machaerium scleroxylon,1,375
Cedrela fissilis,1,383
Copaifera langsdorffii,1,395
Poecilanthe parviflora,1,405
Erythrina falcata,1,413
Trema micrantha,1,421
Amburana cearensis,1,431
Lafoensia pacari,1,441
Cecropia hololeuca,1,449
Ilex paraguariensis,1,455
Apuleia leiocarpa,1,467
Patagonula americana,1,477
Calophyllum brasiliense,1,485
Schizolobium paraybae,1,495
Lamanonia ternata,1,505
Vochysia bifalcata,1,511
Astronium graveolens,1,517
Ocotea porosa,1,525
Inga sessilis,1,533
Tabebuia alba,1,541
Zeyheria tuberculosa,1,549
Tabebuia impetiginosa,1,557
Tabebuia heptaphylla,1,565
Dalbergia brasiliensis,1,573
Dalbergia nigra,1,581
Miconia cinnamomifolia,1,591
Hymenaea courbaril var. stilbocarpa,1,599
Genipa americana,1,609
Cariniana estrellensis,1,619
Cariniana legalis,1,629
Bastardiopsis densiflora,1,637
Cordia trichotoma,1,645
Schefflera morototoni,1,657
Diatenopteryx sorbifolia,1,669
Mimosa bimucronata,1,675
Ruprechtia laxiflora,1,683
Chorisia speciosa,1,691
Euterpe edulis,1,699
Bauhinia forficata,1,709
Caesalpinia echinata,1,717
Senna multijuga,1,727
Gallesia integrifolia,1,735
Caesalpinia ferrea var. parviflora,1,743
Myracrodruon balansae,1,751
Piptadenia gonoacantha,1,757
Balfourodendron riedelianum,1,765
Copaifera trapezifolia,1,775
Aspidosperma polyneuron,1,781
Podocarpus lambertii,1,791
Araucaria angustifolia,1,799
Quillaja brasiliensis,1,813
Salyx humboldtiana,1,821
Gordonia fruticosa,1,829
Colubrina glandulosa var. reitzii,1,835
Gleditsia amorphoides,1,843
Maclura tinctoria,1,851
Alchornea triplinervia,1,859
Citharexylum myrianthum,1,867
Sclerolobium paniculatum,1,874
Enterolobium contortisiliquum,1,883
Ateleia glazioveana,1,893
Prunus brasiliensis,1,901
Piptocarpha angustifolia,1,911
Luehea candicans,2,55
Chrysophyllum gonocarpum,2,63
Schefflera angustissimum,2,71
Protium heptaphyllum,2,79
Samanea tubulosa,2,89
Lithrea molleoides,2,97
Myroxylon peruiferum,2,105
Casearia sylvestris,2,115
Spondias mombin,2,125
Ocotea pulchella,2,133
Cryptocarya aschersoniana,2,141
Nectandra megapotamica,2,149
Rapanea umbellata,2,157
Clethra scabra,2,165
Amburana acreana,2,173
Erythrina crista-galli,2,181
Tapirira guianensis,2,189
